                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.89281,                0.68544,                 1.1304,                0.77246,                0.79397,                0.83982,                0.56427,                 1.2716,                0.94633,                 1.4034,             0.00088736,             0.00088736,             0.00088736
                     64,                0.91888,                0.71028,                 1.1309,                0.77744,                0.73056,                0.79272,                0.53718,                 1.2882,                 1.0951,                 1.4364,             0.00088369,             0.00088369,             0.00088369
                     65,                0.89325,                0.70337,                 1.1231,                0.77913,                 0.7124,                0.78659,                 0.5261,                 1.3221,                 1.1068,                 1.4307,             0.00088002,             0.00088002,             0.00088002
                     66,                0.88899,                0.69822,                 1.1071,                0.74195,                0.84967,                0.83472,                0.56408,                 1.2573,                0.90784,                 1.3923,             0.00087636,             0.00087636,             0.00087636
                     67,                0.88752,                0.69523,                 1.1338,                0.79596,                0.84308,                0.84069,                0.56669,                 1.2161,                0.90783,                 1.3624,             0.00087269,             0.00087269,             0.00087269
                     68,                0.83764,                0.64666,                 1.1039,                0.81199,                0.75879,                0.81842,                 0.5389,                 1.2819,                 1.0364,                 1.4326,             0.00086902,             0.00086902,             0.00086902
                     69,                0.88696,                0.66603,                 1.1479,                0.73642,                0.77637,                 0.7953,                0.53562,                 1.2767,                 1.0381,                 1.4245,             0.00086536,             0.00086536,             0.00086536
                     70,                0.86647,                 0.6713,                 1.1133,                0.76277,                0.81591,                0.83611,                0.54294,                 1.3028,                0.98647,                 1.4276,             0.00086169,             0.00086169,             0.00086169
                     71,                0.89111,                0.70915,                 1.1515,                0.77787,                0.84601,                0.85147,                0.54967,                  1.334,                0.98816,                 1.4449,             0.00085803,             0.00085803,             0.00085803
                     72,                0.88016,                0.66969,                 1.1345,                0.79285,                0.78857,                0.82468,                0.56049,                  1.274,                0.90454,                 1.4175,             0.00085436,             0.00085436,             0.00085436
                     73,                0.88676,                0.66805,                 1.1242,                0.75013,                0.79903,                0.82218,                0.53999,                 1.2531,                0.96646,                 1.3761,             0.00085069,             0.00085069,             0.00085069
                     74,                0.88068,                0.63275,                 1.0919,                0.77049,                0.82309,                0.84152,                0.55876,                 1.2158,                0.90508,                 1.3526,             0.00084703,             0.00084703,             0.00084703
                     75,                0.88601,                0.66473,                 1.1159,                0.77439,                 0.7922,                0.83113,                0.54911,                 1.2636,                0.98131,                 1.3744,             0.00084336,             0.00084336,             0.00084336
                     76,                0.87799,                0.64282,                 1.1155,                0.82111,                0.80015,                0.85553,                0.55347,                 1.2647,                0.88886,                 1.3497,             0.00083969,             0.00083969,             0.00083969
                     77,                0.87136,                0.66805,                 1.1339,                0.73291,                0.78933,                0.81334,                0.54603,                 1.2275,                0.97002,                 1.3551,             0.00083603,             0.00083603,             0.00083603
                     78,                0.84672,                0.61371,                 1.0798,                0.80775,                0.77134,                0.80353,                0.53133,                 1.2599,                 1.0181,                 1.3761,             0.00083236,             0.00083236,             0.00083236
                     79,                0.89296,                0.68047,                 1.1349,                0.80995,                0.75019,                0.80663,                0.52492,                 1.2991,                 1.0765,                 1.4265,             0.00082869,             0.00082869,             0.00082869
                     80,                 0.8464,                0.68804,                  1.129,                 0.7832,                0.77422,                0.82357,                0.55342,                  1.247,                 1.0226,                 1.4076,             0.00082503,             0.00082503,             0.00082503
                     81,                0.82561,                 0.6311,                 1.0964,                 0.8021,                0.87554,                0.86374,                0.57626,                 1.2323,                0.87981,                 1.3798,             0.00082136,             0.00082136,             0.00082136
                     82,                0.83898,                   0.62,                 1.0855,                0.82635,                0.81863,                0.84296,                0.55878,                 1.2651,                 0.9205,                 1.3909,              0.0008177,              0.0008177,              0.0008177
                     83,                0.80894,                0.59839,                 1.0863,                0.81791,                0.78664,                0.81533,                0.54455,                 1.2772,                 0.9689,                 1.4234,             0.00081403,             0.00081403,             0.00081403
                     84,                 0.8288,                0.62404,                 1.1048,                0.83584,                0.79128,                0.81515,                0.54512,                 1.2607,                0.95999,                 1.4272,             0.00081036,             0.00081036,             0.00081036
                     85,                0.82218,                0.61338,                 1.1017,                0.78984,                0.80361,                0.83108,                0.55204,                 1.2936,                0.96082,                 1.4442,              0.0008067,              0.0008067,              0.0008067
                     86,                0.85482,                0.62224,                 1.1083,                0.76417,                0.85289,                0.86413,                0.56963,                  1.257,                0.85611,                 1.4076,             0.00080303,             0.00080303,             0.00080303
                     87,                0.84344,                0.61246,                 1.0949,                0.81038,                0.80245,                0.85667,                0.55371,                 1.3197,                0.88972,                 1.4725,             0.00079936,             0.00079936,             0.00079936
                     88,                0.81857,                0.60929,                 1.0686,                0.82783,                 0.7743,                0.84762,                0.55884,                 1.2923,                0.98667,                 1.4013,              0.0007957,              0.0007957,              0.0007957
                     89,                0.81159,                0.61683,                 1.0923,                 0.8373,                0.77716,                0.82055,                 0.5527,                 1.2606,                0.92541,                 1.3892,             0.00079203,             0.00079203,             0.00079203
                     90,                 0.8384,                0.61057,                  1.096,                0.79533,                0.79123,                0.80019,                0.53552,                 1.2637,                0.98053,                 1.3898,             0.00078837,             0.00078837,             0.00078837
                     91,                0.80777,                0.60255,                 1.0584,                0.82288,                0.75863,                0.79483,                0.53305,                 1.2711,                  1.037,                 1.3969,              0.0007847,              0.0007847,              0.0007847
                     92,                 0.8387,                0.59388,                 1.0892,                0.77588,                0.75011,                0.81604,                0.55828,                 1.2377,                0.93537,                 1.3994,             0.00078103,             0.00078103,             0.00078103
                     93,                0.83774,                0.60056,                 1.0899,                0.78986,                0.82038,                0.83161,                0.56097,                 1.2436,                0.87473,                 1.4054,             0.00077737,             0.00077737,             0.00077737
                     94,                0.79078,                0.57417,                  1.086,                0.80076,                0.84105,                0.84492,                0.56981,                 1.2196,                0.90776,                 1.3508,              0.0007737,              0.0007737,              0.0007737
